"","year","PC1","PC2","PC3","tas","hurs","pr","ps","rsds","rlds","sfcwind","tasmax","tasmin"
"40",1989,-40.0188692292747,-15.58599637837,13.9086874617999,296.880515638041,81.4079153257995,7.25398058223122e-05,95588.3285919029,205.450108316024,396.649197453166,1.82079616371679,301.258127523178,293.686035423479
"41",1990,10.7969526568576,-2.73078456670742,7.58334214502401,297.176672112086,81.3367728627501,6.92491678136633e-05,95604.828547436,206.901476490936,398.874550066145,1.84002122812743,301.534945700089,294.016282383907
"42",1991,-6.46997309864404,13.7174128025147,13.9033666050793,297.20138323996,80.6521686338502,6.79185034372868e-05,95609.8527836307,206.618463853612,397.720598611648,1.86953907508253,301.585945850913,293.982756245575
"43",1992,-12.1709371660124,31.2050749904876,-4.19793903680311,297.162418853172,80.4429259684374,6.59387448512154e-05,95593.0874818712,207.479656389841,397.048721961507,1.84953258735912,301.576727177341,293.914272528814
"44",1993,-12.5481894308246,-3.01332907603211,-1.03822547609546,297.097035396329,81.2509192117668,7.19353451199902e-05,95620.6565441659,205.762636395135,397.644484237698,1.81578813318405,301.476979751721,293.890324661068
"45",1994,-25.1114516933332,8.74523941335816,3.77660682558026,297.145971602191,80.9238756116343,7.16794521275499e-05,95610.9550866763,204.923145674991,397.602589000962,1.84532256774122,301.536103978466,293.913747209592
"46",1995,27.0675390620907,-3.23639119477114,-13.246756293178,297.334512967779,80.5360072490004,7.10254405308264e-05,95590.2008828399,208.153573305093,398.219372624065,1.8048281859078,301.82204850125,294.040922228384
"47",1996,-23.502241303653,-7.94394525627889,-6.20373593511327,297.017870634116,81.5802088769221,7.25684213291006e-05,95578.0877743268,204.988631169976,397.731861595515,1.80068245477935,301.408172193217,293.838634217057
"48",1997,15.6756411838718,18.4512955598445,7.14092511319714,297.448209532088,79.9118842911595,6.39216074852828e-05,95623.5971106748,211.756007797455,397.684817806852,1.85776987348254,301.968416097076,294.127737830274
"49",1998,108.475855585954,-21.2317920985246,21.6113439074421,297.884020229146,80.51042573214,7.17950523554168e-05,95604.1428757115,208.289618971469,402.276668815813,1.78419695896359,302.346920020108,294.628295844992
"50",1999,-35.9942467099847,-20.4507669053622,-5.30730156811465,296.973526588881,81.7534721569923,7.53755217052771e-05,95578.3841225646,203.482384135552,397.020041056565,1.7827849277473,301.384094291727,293.765041932542
"51",2000,-46.284480839025,-11.0300445672371,10.6852751117988,297.04120888518,81.2109804838217,7.31024881123356e-05,95569.0514037872,204.930903065643,396.658888227259,1.81465819102244,301.511414910365,293.780361649869
"52",2001,-20.9285302786347,0.597737415109181,16.4022879628885,297.201432463584,80.975239230956,6.87274886505892e-05,95596.7787478793,207.076348570308,397.324604836112,1.81967731869262,301.716101464373,293.914962648302
"53",2002,17.5158006646239,8.62462955299984,6.56939996491385,297.470512563836,80.4758998433262,6.70108639586274e-05,95614.6411808368,209.402741467264,398.500023442684,1.83702623194341,302.003144152319,294.179053712434
"54",2003,15.4166736517286,-6.02326222350261,5.5996587811166,297.478483878167,80.4377776002299,6.81134054714756e-05,95614.4687602616,208.232081548554,398.524708034696,1.82008732555209,302.012229211276,294.170480263839
"55",2004,5.63577389749657,-3.14739074281704,-11.9387775284514,297.448424771872,80.3754117643353,6.57792471642338e-05,95610.5348911586,209.643983239677,397.760151477286,1.83306621469153,301.958366941863,294.095944673501
"56",2005,40.1194429020097,-5.38363954958642,-32.31445154861,297.681532771283,80.0058044460317,6.70659061323029e-05,95585.4773167278,209.40803061183,399.12946976964,1.82545691264072,302.212386176382,294.299069312742
"57",2006,9.65480844693601,-5.59575792681939,-6.78899577825482,297.549713295103,80.3858859434646,6.87196931479345e-05,95597.1168403158,208.03461293623,398.501834575433,1.82014259774297,302.053763354514,294.191352777431
"58",2007,-0.309447141586667,0.874416836909804,-13.1293048132695,297.529802472704,80.0232496612335,7.05537934448925e-05,95578.9782830287,208.061455394257,398.081508836897,1.84461600577455,302.045440553575,294.143660683974
"59",2008,-33.6871769796353,-7.04247429467734,-20.7905166279742,297.326413637285,80.4202532601231,7.28553691607206e-05,95562.0360233554,206.121542608258,397.022068638309,1.82579272184293,301.843317689912,293.970574320511
"60",2009,7.82533206210187,9.84319092280275,-6.85326882455349,297.666106910505,79.9325883977259,6.91169936817305e-05,95563.5629942672,208.688028883391,399.047812099423,1.85314658299845,302.218562739117,294.284833223306
"61",2010,67.5414145199795,-24.3317086102177,-5.37973663681255,297.915281559665,80.3350612444969,7.31343616597424e-05,95554.8444631814,206.857642582962,401.515901695826,1.77385067676183,302.443707628133,294.575874034661
"62",2011,-30.2039600695995,-2.6185147137998,-42.8247173108338,297.442858974904,80.5712760968718,7.31317998762799e-05,95547.4825672477,204.309563865595,398.265086486335,1.83971611735282,301.932156551114,294.159197378075
"63",2012,-18.8503321580213,7.49651176241055,8.30867590468033,297.589758236646,80.1225796397221,7.00031329848298e-05,95580.3335978546,206.842038423501,398.458588481576,1.83828590919905,302.128925797818,294.231737661278
"64",2013,-11.2292896564103,1.85652463959589,-0.558947426618993,297.634632090554,80.3566618951106,7.18443273353224e-05,95596.1698346514,205.048171977028,399.383342415564,1.84686939066012,302.146015173917,294.286675541706
"65",2014,-16.9366395583505,15.5745029574735,8.29676677812184,297.703106173701,79.8437813910837,6.8820710213722e-05,95619.9910005746,207.528204191378,399.076469080669,1.87571528102491,302.234602559051,294.331905077719
"66",2015,20.9538576858746,37.3479109276106,9.06802836543273,298.032213374737,78.7659906414052,6.45432520126826e-05,95638.5178876833,211.297521297234,399.867755355434,1.89895443161607,302.627320444939,294.583694952382
"67",2016,56.4792927848221,-1.42003052869179,3.66505672933393,298.168449107903,79.4929407908077,7.07650124171712e-05,95627.6136421164,207.501585390856,402.282806009002,1.84747175739233,302.70772066133,294.762430515055
"68",2017,8.90558976724406,-1.2305198506329,-4.14446191526848,297.828760096989,80.1576604701174,7.30594455030239e-05,95606.1784851822,206.425719186011,400.723536917291,1.84772645265856,302.287584682271,294.520872152833
"69",2018,-35.537571144701,-4.75906317278907,11.1322478202847,297.677664280773,79.9547854104518,6.99247981695066e-05,95620.9835609129,206.902681494344,399.487557506394,1.88378761541718,302.166440238886,294.360049980952
"70",2019,5.44284472107061,-3.6722409971483,23.4837271888977,297.957976132475,79.4832168059675,6.74964848549651e-05,95642.8600864711,209.962511156152,400.701828610876,1.88047776842284,302.464974972914,294.595655571558
"71",2020,17.2417688600714,-4.93046582793992,10.6408337441311,298.012445439808,79.1600371776654,6.8223293461474e-05,95636.2806514065,210.345712918951,400.714594592146,1.8836821361776,302.55660917212,294.63040354874
"72",2021,-36.9460451089467,-22.3012619879798,0.95050632620411,297.706539361155,79.7217427485879,7.12888372942467e-05,95624.7290235743,208.388546283942,399.239500389834,1.86250512894315,302.151786483524,294.402856496086
