index,region,cluster,pc,cor
npo,Europe,35,2,0.312190427684612
nao,Oceania,35,3,0.290103783337491
pdo,Africa,36,1,0.281192774117201
npo,Americas,36,1,0.235851921192889
oni,Antarctica,36,2,0.310038509587241
nao,Asia,36,2,0.277911912806184
iod,Europe,36,2,0.335691703172041
npgo,Oceania,36,2,0.285961952878452
npo,Africa,36,2,0.240727676766267
oni,Americas,36,3,0.347236867612556
pdo,Antarctica,36,3,0.367019792510129
iod,Asia,36,3,0.251695726555034
npo,Europe,36,3,0.350425914265856
pdo,Oceania,37,1,0.25797223919714
npo,Africa,37,1,0.361348763501582
oni,Americas,37,2,0.318971773171123
npgo,Antarctica,37,2,0.271320473248096
nao,Asia,37,3,0.258004141098744
npgo,Europe,37,3,0.236856087625288
npo,Oceania,37,3,0.269684640976423
oni,Africa,38,1,0.233994957888726
pdo,Americas,38,1,0.310541312371722
iod,Antarctica,38,1,0.258153497863753
oni,Asia,38,2,0.300405774797915
pdo,Europe,38,2,0.334353063458817
iod,Oceania,38,2,0.308118910504187
npo,Africa,38,2,0.245766308935152
iod,Americas,38,3,0.238792758498314
oni,Antarctica,39,1,0.244023047179279
nao,Asia,39,1,0.291842050758216
npo,Europe,39,1,0.25089550294901
oni,Oceania,39,3,0.262201058430248
nao,Africa,39,3,0.272207036452602
pdo,Americas,39,3,0.233717667953677
iod,Antarctica,39,3,0.307251160799634
npo,Asia,39,3,0.266290122182786
nao,Europe,40,1,0.304085423221042
npgo,Oceania,40,1,0.272636488948972
oni,Africa,40,2,0.238109809157561
npgo,Americas,40,2,0.276222936357708
npo,Antarctica,40,2,0.262177368011292
iod,Asia,40,3,0.247741190247245
npo,Europe,40,3,0.240090738262205
oni,Oceania,41,1,0.268224799480177
iod,Africa,41,1,0.270630726028553
iod,Americas,41,2,0.233826936082852
oni,Antarctica,41,3,0.296941287828622
nao,Asia,41,3,0.267925912879026
pdo,Europe,41,3,0.24464058526029
oni,Oceania,42,1,0.302240479784821
pdo,Africa,42,1,0.326457366177045
npo,Americas,42,1,0.263662752910224
oni,Antarctica,42,2,0.23545538831346
nao,Asia,42,2,0.370243690951296
pdo,Europe,42,2,0.244615513782363
iod,Oceania,42,2,0.294184642109592
nao,Africa,42,3,0.294072633613474
oni,Americas,43,1,0.305050363309963
nao,Antarctica,43,1,0.304695796274978
npo,Asia,43,1,0.243322971751364
nao,Europe,43,2,0.256211224617501
npo,Oceania,43,2,0.318131109288716
nao,Africa,43,3,0.361973818868839
oni,Americas,44,1,0.25572932609314
npgo,Antarctica,44,1,0.24538780780988
oni,Asia,44,2,0.340026803305113
pdo,Europe,44,2,0.371116114683577
iod,Oceania,44,2,0.284790801742439
nao,Africa,44,3,0.295472638669109
iod,Americas,44,3,0.235845808724106
npo,Antarctica,44,3,0.281154405225667
npo,Asia,45,2,0.255427719360451
nao,Europe,46,1,0.25034548959231
iod,Oceania,46,1,0.30337014789696
npo,Africa,46,1,0.283796099141045
nao,Americas,46,2,0.24767011620759
npo,Antarctica,46,2,0.304470918702997
nao,Asia,46,3,0.328879991716023
nao,Europe,47,1,0.246030890762535
pdo,Oceania,47,1,0.254234554108854
iod,Africa,47,1,0.297902822198536
nao,Americas,47,2,0.283426102753555
npo,Antarctica,47,2,0.279602268985244
oni,Asia,47,3,0.268899317983619
nao,Europe,47,3,0.291785464063831
pdo,Oceania,47,3,0.243878845788626
npgo,Africa,47,3,0.236578377038333
oni,Americas,48,1,0.267656801879386
nao,Antarctica,48,2,0.260999195010632
npgo,Asia,48,2,cor04
npo,Europe,48,2,0.286361400197526
nao,Oceania,48,3,0.253867881223498
iod,Africa,48,3,0.262326239166578
nao,Americas,49,1,0.252249015671259
iod,Antarctica,49,1,0.322458065859727
npo,Asia,49,1,0.274460358286668
oni,Europe,49,2,0.254216957041179
iod,Oceania,49,2,0.283647301045127
oni,Africa,49,3,0.368638095319195
nao,Americas,49,3,0.315362327352023
npgo,Antarctica,49,3,0.308756039425442
npo,Asia,49,3,0.259227980475713
nao,Europe,50,1,0.31302411396604
npo,Oceania,50,1,0.243515375336159
iod,Africa,50,3,0.289807712801849
npgo,Americas,50,3,0.278090607075541
npo,Antarctica,50,3,0.238338938875471
oni,Asia,51,1,0.248318971032737
pdo,Europe,51,1,0.251783279543008
iod,Oceania,51,2,0.284038920966532
nao,Africa,51,3,0.350218642704114
oni,Americas,52,1,0.243956411231771
nao,Antarctica,52,1,0.23869422932349
pdo,Asia,52,1,0.284916387345821
oni,Europe,52,2,0.309998967121865
oni,Oceania,52,3,0.316898793959851
iod,Africa,52,3,0.307078179090804
oni,Americas,53,1,0.342763439090253
nao,Antarctica,53,1,0.238462961027087
pdo,Asia,53,1,0.233319167375131
npo,Europe,53,1,0.239197118645511
npo,Oceania,53,2,0.319083735528865
npo,Africa,53,3,0.255495707264016
oni,Americas,54,1,0.25961362610461
pdo,Antarctica,54,1,0.239993460718012
iod,Asia,54,1,0.333166507052956
npgo,Europe,54,1,0.283875294628528
oni,Oceania,54,2,0.266146641424434
npgo,Africa,54,2,0.298466377740472
nao,Americas,54,3,0.255450056682791
npo,Antarctica,54,3,0.241363359333438
oni,Asia,55,1,0.29017563362648
nao,Europe,55,1,0.242650207494879
pdo,Oceania,55,1,0.238025464150233
npo,Africa,55,1,0.309495531191329
oni,Americas,55,2,0.233403285814244
nao,Antarctica,55,2,0.248316503129312
iod,Asia,55,2,0.269338444139103
npo,Europe,55,3,0.254439247382019
oni,Oceania,56,1,0.379172381922065
nao,Africa,56,1,0.27759387366922
pdo,Americas,56,2,0.261623888375933
npo,Antarctica,56,2,0.276477235726553
oni,Asia,56,3,0.36710921874084
pdo,Europe,56,3,0.237201524430564
npgo,Oceania,56,3,0.344412965482232
npgo,Africa,57,1,0.277391184359769
nao,Americas,57,2,0.321339155494071
npgo,Antarctica,57,2,0.269630711925498
npo,Asia,57,2,0.23629112566568
oni,Europe,57,3,0.274149718209623
nao,Oceania,57,3,0.232176309396317
pdo,Africa,57,3,0.293237530262949
iod,Americas,57,3,0.232892970607834
npgo,Antarctica,57,3,0.283097011141798
oni,Asia,58,2,0.277426683343781
nao,Europe,58,2,0.264251011949738
npo,Oceania,58,2,0.312265266305459
oni,Africa,58,3,0.367548393692435
pdo,Americas,58,3,0.232574701793985
nao,Antarctica,59,1,0.236941217424863
pdo,Asia,59,1,0.245243253114443
npo,Europe,59,1,0.322905012240879
oni,Oceania,59,2,0.254174385650044
iod,Africa,59,2,0.325610188601234
npgo,Americas,59,2,0.243115350533578
oni,Antarctica,59,3,0.246299403168783
pdo,Asia,59,3,0.231115782705447
npo,Europe,59,3,0.263239746584891
nao,Oceania,60,1,0.280792328378478
nao,Africa,60,2,0.264081632681944
pdo,Americas,60,2,0.233502624060599
npgo,Antarctica,60,2,0.232638234654013
iod,Asia,60,3,0.259391734670106
npo,Europe,60,3,0.256822612728078
oni,Oceania,61,1,0.310801180976132
nao,Africa,61,1,0.289110066274489
oni,Americas,61,2,0.338528661559838
pdo,Antarctica,61,2,0.23814702661785
iod,Asia,61,2,0.242550623648034
npo,Europe,61,2,0.240718698422732
oni,Oceania,61,3,0.245870857372506
oni,Africa,62,1,0.309176114390143
npgo,Americas,62,1,0.240599571455291
oni,Antarctica,62,2,cor04
nao,Asia,62,2,0.301486938694895
pdo,Europe,62,2,0.270976278292799
iod,Oceania,62,2,0.256548255298142
npgo,Africa,62,2,cor04
oni,Americas,62,3,0.294650783415858
pdo,Antarctica,62,3,0.274123829004914
npo,Asia,62,3,0.261274884674531
oni,Europe,63,1,cor04
nao,Oceania,63,1,0.279908414288951
pdo,Africa,63,1,0.256321455471651
iod,Americas,63,1,0.387974659221203
npgo,Antarctica,63,1,0.23300106415811
npo,Asia,63,1,0.252209444602271
oni,Europe,63,2,cor04
nao,Oceania,63,2,0.283151795010637
pdo,Africa,63,2,cor04
npgo,Americas,63,2,cor04
iod,Antarctica,63,3,0.235166295604986
npo,Asia,63,3,0.271076094548506
oni,Europe,64,1,0.28753008528858
pdo,Oceania,64,1,0.248564627900536
npgo,Africa,64,1,0.333507514335924
nao,Americas,64,2,0.282511392075258
oni,Antarctica,64,3,0.295203038761086
nao,Asia,64,3,0.232533711117248
pdo,Europe,64,3,0.282608024306225
npo,Oceania,64,3,0.266664506679721
oni,Africa,1,1,0.326764115596476
pdo,Americas,1,1,0.318643737809843
iod,Antarctica,1,1,0.231375502396908
oni,Asia,1,3,0.282906708543232
nao,Europe,1,3,0.330271514683489
pdo,Oceania,1,3,0.258163226690996
npgo,Africa,1,3,0.310244661387869
oni,Americas,2,1,0.262145531764338
pdo,Antarctica,2,1,0.321750667400161
nao,Asia,2,2,0.247242529402886
nao,Europe,2,3,0.311622979421703
pdo,Oceania,2,3,0.266198008457774
iod,Africa,2,3,0.244438531989691
npgo,Americas,2,3,0.231964356955338
pdo,Antarctica,3,1,0.285839317137441
npgo,Asia,3,1,0.237075241246594
oni,Europe,3,2,0.342903868607438
nao,Oceania,3,2,0.276413994428717
pdo,Africa,3,2,0.331491092919067
npgo,Americas,3,2,0.324259411859482
nao,Antarctica,3,3,0.233116024148201
npo,Asia,4,1,0.264581325290304
oni,Europe,4,2,0.280557435232808
iod,Oceania,4,3,0.269453428026678
oni,Africa,5,1,0.274081693791257
nao,Americas,5,1,0.292244678287596
iod,Antarctica,5,1,0.290891460152823
npo,Asia,5,1,0.233241576110963
oni,Europe,5,2,0.289086510856038
nao,Oceania,5,2,0.2471972945323
pdo,Africa,5,2,0.265564737536768
iod,Americas,5,2,0.277000100740065
npgo,Antarctica,5,2,0.378241996711429
nao,Asia,5,3,0.2736322183686
oni,Europe,6,1,cor04
nao,Oceania,6,1,0.28978323941879
pdo,Africa,6,1,cor04
npgo,Americas,6,1,0.398396249771387
npo,Antarctica,6,1,cor04
pdo,Asia,6,2,0.276534655488679
npo,Europe,6,2,0.268748898126118
npgo,Oceania,6,3,0.356533514721279
npo,Africa,6,3,0.251735154884954
oni,Americas,7,1,0.396708369701346
pdo,Antarctica,7,1,0.354191635821627
iod,Asia,7,1,0.248205924888321
npgo,Europe,7,1,0.32028775377785
npo,Oceania,7,1,0.387616800036781
oni,Africa,7,2,cor04
pdo,Americas,7,2,cor04
npgo,Antarctica,7,2,0.361083572219747
oni,Asia,7,3,0.265999159708827
npo,Europe,7,3,cor04
oni,Oceania,8,1,cor04
nao,Africa,8,1,0.316928121876404
pdo,Americas,8,1,0.293849402403023
npgo,Antarctica,8,1,0.331258745158439
npo,Asia,8,1,0.272912118262953
oni,Europe,8,2,0.250078429833587
