index,region,cluster,pc,cor
oni,Oceania,36,3,0.243673969884253
nao,Africa,36,3,0.253988976235097
iod,Americas,36,3,0.232483048476467
npgo,Antarctica,36,3,0.247906639454399
npo,Asia,36,3,0.233314396430178
oni,Europe,37,1,0.367439138735919
nao,Oceania,37,1,0.368458761973556
pdo,Africa,37,1,0.244363177399885
npo,Americas,37,1,0.262446910977027
nao,Antarctica,37,2,0.234164105711317
pdo,Asia,37,2,0.255925721922018
nao,Europe,37,3,0.373246961081861
pdo,Oceania,37,3,0.243968925912326
oni,Africa,38,1,0.279511412966483
nao,Americas,38,1,0.33417957830806
pdo,Antarctica,38,1,0.336376474861838
npo,Asia,38,1,0.286704988562493
oni,Europe,38,2,0.248724359663203
nao,Oceania,38,2,0.366629242318842
nao,Africa,38,3,0.249213655189574
pdo,Americas,38,3,0.231356768536241
nao,Antarctica,39,1,0.231928256622223
pdo,Asia,39,1,0.345053022166612
npo,Europe,39,1,0.317203659352184
nao,Oceania,39,3,0.275967724678636
npgo,Africa,39,3,0.264027841178933
oni,Americas,40,1,cor04
nao,Antarctica,40,1,0.236638616041219
pdo,Asia,40,1,0.373585452212491
npo,Europe,40,1,0.255705382035085
oni,Oceania,40,2,0.278727785111719
nao,Africa,40,2,0.273812048011964
oni,Americas,40,3,0.299670141781254
iod,Antarctica,40,3,0.262950729625015
npo,Asia,40,3,0.2794922985241
oni,Europe,41,1,0.265894508324417
nao,Oceania,41,1,0.280606617066977
npgo,Africa,41,1,0.242041566324621
oni,Americas,41,2,0.304196031038017
nao,Antarctica,41,2,0.236189882195857
iod,Asia,41,2,0.276083641915149
npgo,Europe,41,2,0.259589040473365
oni,Oceania,41,3,0.327143350533608
nao,Africa,41,3,cor04
iod,Americas,41,3,0.240924837161735
npgo,Antarctica,41,3,0.370929692442803
oni,Asia,42,1,0.255156404354981
pdo,Europe,42,1,0.303344080716358
iod,Oceania,42,1,0.236090306839484
oni,Africa,42,3,0.266764232330529
nao,Americas,42,3,0.247849506614826
npgo,Antarctica,42,3,0.251740457673844
npo,Asia,42,3,0.287517465960712
oni,Europe,43,1,0.299188920057888
nao,Oceania,43,1,0.257099533519517
pdo,Africa,43,1,0.279022631162585
npgo,Americas,43,1,0.336678650662845
oni,Antarctica,43,2,0.265916481615751
iod,Asia,43,2,0.262347903802815
npgo,Europe,43,2,0.2816232465067
npo,Oceania,43,2,0.334872462698971
nao,Africa,43,3,0.320700621261591
nao,Americas,44,1,0.290929506201711
nao,Antarctica,44,3,0.358158119187736
pdo,Asia,45,1,0.233667236510844
iod,Europe,45,1,0.30825667904984
pdo,Oceania,45,2,0.259115205896958
npgo,Africa,45,2,0.342713443624888
oni,Americas,45,3,0.328898344934914
nao,Antarctica,45,3,0.269765739095234
oni,Asia,46,1,0.235874248588222
nao,Europe,46,1,0.262817918652102
npo,Oceania,46,1,0.285686707629429
iod,Africa,46,2,0.274916908395131
nao,Americas,46,3,0.250678247110639
nao,Antarctica,47,1,0.271827076458935
nao,Asia,47,2,0.310151390104871
oni,Europe,47,3,0.329955941768687
pdo,Oceania,47,3,0.236583343982615
npo,Africa,47,3,0.293735206236854
oni,Americas,48,1,0.234742036291668
nao,Antarctica,48,1,0.320328768665676
iod,Asia,48,1,0.274535100257497
oni,Europe,48,2,0.308797299249703
nao,Oceania,48,2,0.305757096013317
pdo,Africa,48,2,0.267147039162638
npgo,Americas,48,2,0.321290698034429
pdo,Antarctica,48,3,0.315823755174543
npo,Asia,48,3,0.298621217770458
oni,Europe,49,1,0.365081474904853
nao,Oceania,49,1,0.303632531499872
pdo,Africa,49,1,0.238727895610589
oni,Americas,49,2,cor04
nao,Antarctica,49,2,0.336536260802765
pdo,Asia,49,2,0.331407032819488
iod,Europe,49,2,0.272061325103549
npgo,Oceania,49,2,0.371052318408356
npo,Africa,49,2,0.237169573311316
iod,Americas,49,3,0.283459110960842
nao,Antarctica,50,1,0.243454728047597
nao,Asia,50,2,0.327552489289201
npgo,Europe,50,2,0.272642464664974
npo,Oceania,50,2,0.290931669652954
oni,Africa,50,3,0.253766171323156
pdo,Americas,50,3,0.270184060711751
pdo,Antarctica,51,1,0.247895214532792
npgo,Asia,51,1,0.276340361728464
oni,Europe,51,2,0.305781947160658
pdo,Oceania,51,2,0.27497304038736
npo,Africa,51,2,0.256927784759323
oni,Americas,51,3,0.262792207419556
nao,Antarctica,51,3,0.254133153468926
npgo,Asia,51,3,0.267846319551524
npo,Europe,51,3,0.24773470935436
nao,Oceania,52,1,0.231643839950763
pdo,Africa,52,1,0.269302806905908
npgo,Americas,52,1,0.269840999988839
oni,Antarctica,52,2,0.315651547615179
nao,Asia,52,2,0.323160316857371
npgo,Europe,52,2,0.303804059195224
npo,Oceania,52,2,0.306767966331926
oni,Africa,52,3,cor04
pdo,Americas,52,3,0.281414996963594
npo,Antarctica,52,3,0.295641273682179
oni,Asia,53,1,0.326107113571291
iod,Europe,53,1,0.278633543986385
npo,Oceania,53,1,0.274850613884077
oni,Africa,53,2,0.295858978281066
nao,Americas,53,2,0.259108513921453
pdo,Antarctica,53,2,0.274778236220864
npgo,Asia,53,2,0.344338481840807
npo,Europe,53,2,0.251627679076938
oni,Oceania,53,3,0.28396964071555
oni,Africa,54,1,0.233691332681402
pdo,Americas,54,1,0.238924268720871
npo,Antarctica,54,1,0.347533712909192
oni,Asia,54,2,0.246310253387723
pdo,Europe,54,2,0.29187327329987
npgo,Oceania,54,2,0.251245242016301
nao,Africa,54,3,0.379023347387903
npo,Americas,54,3,0.279562057156561
oni,Antarctica,55,2,cor04
pdo,Asia,55,2,0.30344805122941
iod,Europe,55,2,0.299763422670205
npgo,Oceania,55,2,0.370555128097088
npo,Africa,55,3,0.233653713491022
oni,Americas,56,1,0.393323456773516
nao,Antarctica,56,1,0.240563468502775
pdo,Asia,56,1,0.241614307465967
npo,Europe,56,1,0.246482919435447
nao,Oceania,56,3,0.257871575579022
npo,Africa,56,3,0.261786710693142
npgo,Americas,57,1,0.295741694618867
npo,Antarctica,57,1,0.316698937567648
nao,Asia,57,3,0.236094318727729
nao,Europe,1,2,0.337805812095488
npo,Oceania,1,2,0.244963548495223
pdo,Africa,1,3,0.244802169283367
oni,Americas,2,1,cor04
iod,Antarctica,2,1,0.266912604971422
npgo,Asia,2,1,0.363942725115472
nao,Europe,2,2,0.263785816484423
iod,Oceania,2,2,0.275390833563745
npgo,Africa,2,2,0.34323633344812
npo,Americas,2,2,0.305444060737722
oni,Antarctica,2,3,0.259147652834663
iod,Asia,2,3,0.383383644843805
oni,Europe,3,1,cor04
nao,Oceania,3,1,0.256608297104712
iod,Africa,3,1,cor04
npo,Americas,3,1,0.268634493907385
oni,Antarctica,3,2,cor04
nao,Asia,3,2,0.309911979470988
pdo,Europe,3,2,cor04
iod,Oceania,3,2,0.235062747093047
npgo,Africa,3,2,cor04
npo,Americas,3,2,0.260765946593546
iod,Antarctica,3,3,0.254819280397726
npgo,Asia,3,3,0.308369641870058
oni,Europe,4,1,0.352430173482129
pdo,Oceania,4,1,cor04
iod,Africa,4,1,0.231325665105475
npgo,Americas,4,1,0.311140817400618
oni,Antarctica,4,2,0.307849414200549
nao,Asia,4,2,0.310500741373818
pdo,Europe,4,2,0.294911608801286
npo,Oceania,4,2,0.27834006259006
nao,Africa,5,1,0.234229392448074
npo,Americas,5,1,0.244204987091215
nao,Antarctica,5,2,0.325979968181971
npgo,Asia,5,2,0.273131324517992
oni,Europe,5,3,0.270535620180034
npo,Oceania,5,3,0.3273096065539
oni,Africa,6,1,0.271460384409419
nao,Americas,6,1,0.231784838526668
pdo,Antarctica,6,1,0.265333449734757
npgo,Asia,6,1,0.251814941233685
oni,Europe,6,2,0.299033159511551
iod,Oceania,6,2,0.321381063867571
npgo,Africa,6,2,0.341710068496679
npo,Americas,6,2,0.274971028667348
oni,Antarctica,6,3,0.25235069417327
nao,Asia,6,3,0.329841895045598
pdo,Europe,6,3,0.241665822824889
iod,Oceania,6,3,0.261409145366495
npgo,Africa,6,3,0.241057026746024
oni,Americas,7,1,0.282487034505045
nao,Antarctica,7,1,0.282004352479811
pdo,Asia,7,1,0.276768322671871
iod,Europe,7,1,0.245407820536664
npo,Oceania,7,1,0.369957618207582
oni,Africa,7,2,0.266428110829482
nao,Americas,7,2,0.288597633407406
iod,Antarctica,7,2,0.233438100376885
oni,Asia,7,3,0.316022815793199
nao,Europe,7,3,0.236760506856027
pdo,Oceania,7,3,0.255637187613742
iod,Africa,7,3,0.284777658888054
npo,Americas,7,3,0.374697383979136
oni,Antarctica,8,1,cor04
pdo,Asia,8,1,cor04
iod,Europe,8,1,0.298743328945677
npgo,Oceania,8,1,0.243177257981797
npo,Africa,8,1,0.312802555333744
oni,Americas,8,2,0.234125640291925
nao,Antarctica,8,2,0.239487723861555
iod,Asia,8,2,0.260846822330485
npgo,Europe,8,2,0.241152225226336
oni,Oceania,8,3,0.346275064625852
pdo,Africa,8,3,cor04
npgo,Americas,8,3,0.35372391207865
npo,Antarctica,8,3,0.294686711386046
oni,Asia,9,1,cor04
pdo,Europe,9,1,0.254707430844315
iod,Oceania,9,1,0.300361462170136
npgo,Africa,9,1,0.272927556648417
oni,Americas,9,2,0.316296359565692
npgo,Antarctica,9,2,0.288100736688561
npo,Asia,9,2,0.276459524759183
iod,Europe,9,3,0.262992544802088
npgo,Oceania,9,3,0.398971780793478
oni,Africa,10,1,0.34466958413797
nao,Americas,10,1,0.258315538050517
pdo,Antarctica,10,1,0.29343424197691
npgo,Asia,10,1,0.27267983945406
npo,Europe,10,1,0.273666152112027
oni,Oceania,10,2,0.287090664319152
nao,Africa,10,2,cor04
iod,Americas,10,2,0.245072955320582
npgo,Antarctica,10,2,0.23361142171319
nao,Asia,10,3,0.269321107757611
pdo,Europe,10,3,0.294048256137095
oni,Oceania,11,1,0.312467016187959
nao,Africa,11,1,0.354656302542614
pdo,Americas,11,1,0.388687569775847
npgo,Antarctica,11,1,0.34406291201873
nao,Asia,11,2,0.250981989624442
pdo,Europe,11,2,0.265480202244001
npgo,Oceania,11,2,0.232744059987816
npo,Africa,11,2,0.307312672669003
oni,Americas,12,1,0.262711273480505
npgo,Antarctica,12,1,0.244642116899395
npo,Asia,12,1,0.298319080521954
oni,Europe,12,2,0.327021652278602
pdo,Oceania,12,2,0.340098204454843
npgo,Africa,12,2,0.285980047544328
iod,Americas,12,3,0.360785180840097
nao,Antarctica,13,1,0.25641604831983
iod,Asia,13,1,0.240564064428782
npo,Europe,13,1,0.28103947680375
oni,Oceania,13,2,0.258668325063834
pdo,Africa,13,2,0.271433773161373
iod,Americas,13,2,0.285515513162447
npo,Antarctica,13,2,0.269974807516957
pdo,Asia,13,3,0.241861231024515
npgo,Europe,13,3,0.307065254766014
npo,Oceania,13,3,0.258627825376164
oni,Africa,14,1,0.278594437347553
nao,Americas,14,1,0.252299944254963
iod,Antarctica,14,1,0.294713057798655
npgo,Asia,14,1,0.362044356358477
npo,Europe,14,1,0.367645083171036
nao,Oceania,14,2,0.254732670598557
npo,Africa,14,2,0.349505402667803
oni,Americas,14,3,0.279734724972808
pdo,Antarctica,14,3,0.280776951010517
iod,Asia,14,3,0.298212456630094
npgo,Europe,14,3,0.260858549624412
iod,Oceania,15,1,0.272281465888268
nao,Africa,15,2,0.259977459463309
oni,Americas,15,3,0.359256520370207
nao,Antarctica,15,3,0.314453327375187
npgo,Asia,15,3,0.277251906647578
npo,Europe,15,3,0.391261612788231
oni,Oceania,16,1,0.236715241757935
nao,Africa,16,1,0.331579930763922
pdo,Americas,16,1,0.25045630447805
npgo,Antarctica,16,1,0.329760188799644
npo,Asia,16,1,0.270187233327967
nao,Europe,16,2,0.234843517696788
pdo,Oceania,16,2,0.262892467398522
oni,Africa,16,3,0.328445386500493
nao,Americas,16,3,0.240057552542771
oni,Antarctica,17,1,0.339796787230024
nao,Asia,17,1,cor04
pdo,Europe,17,1,0.284295052445553
npgo,Oceania,17,1,0.257529502340897
npo,Africa,17,2,0.271968671234053
oni,Americas,17,3,0.387590248878929
nao,Antarctica,17,3,0.317908421295341
npgo,Asia,17,3,0.291812954623018
npo,Europe,17,3,0.340679129368298
oni,Oceania,18,1,0.364232236179163
nao,Africa,18,1,0.252936594711781
pdo,Americas,18,1,0.257526881734437
npo,Antarctica,18,1,0.324855038739029
oni,Asia,18,2,0.312944357356036
nao,Europe,18,2,0.251494085624971
pdo,Oceania,18,2,0.267333138490106
pdo,Africa,18,3,0.336459722446516
iod,Americas,18,3,0.246095981287552
npgo,Antarctica,18,3,0.23207123171556
npo,Asia,18,3,0.235546146225199
oni,Europe,19,1,cor04
nao,Oceania,19,1,0.283741988084116
pdo,Africa,19,1,0.38328838098896
iod,Americas,19,1,0.249127613843197
npgo,Antarctica,19,1,0.249461872758896
npo,Asia,19,1,0.380978142650987
pdo,Europe,19,2,0.29571514667612
npgo,Oceania,19,2,0.300355071457073
npo,Africa,19,2,0.261056730344043
oni,Americas,19,3,cor04
nao,Antarctica,19,3,0.26013448291639
pdo,Asia,19,3,0.346573240158697
iod,Europe,19,3,0.294133835610221
npgo,Oceania,19,3,0.388562438982516
oni,Africa,20,1,0.361810254716662
nao,Americas,20,1,0.232386521509452
iod,Antarctica,20,1,0.320494501238089
npgo,Asia,20,1,0.360146489800536
nao,Europe,20,2,0.313540731582523
npgo,Oceania,20,2,0.348865894335862
npo,Africa,20,2,0.237972251342113
oni,Americas,20,3,0.289684157404805
iod,Antarctica,20,3,0.300921626876838
npo,Asia,20,3,0.29485607922969
oni,Europe,21,1,0.30915422185817
nao,Oceania,21,1,0.327280241819354
pdo,Africa,21,1,0.291966829074662
npgo,Americas,21,1,cor04
oni,Antarctica,21,2,0.238193816383969
nao,Asia,21,2,0.251442796271406
pdo,Europe,21,2,0.234416855070762
oni,Oceania,22,1,0.335025772928609
nao,Africa,22,1,cor04
pdo,Americas,22,1,0.241301528347135
iod,Antarctica,22,1,0.237451272566641
npgo,Asia,22,1,0.356921534376754
npo,Europe,22,1,0.246622048571017
nao,Oceania,22,2,0.326475256504251
nao,Africa,22,3,0.268994515113483
oni,Americas,23,2,0.322355781153496
nao,Antarctica,23,2,0.241468820971282
pdo,Asia,23,2,0.236035647797245
npgo,Europe,23,2,0.363027499761871
oni,Oceania,23,3,0.26024379537116
nao,Africa,23,3,0.251486645097107
pdo,Americas,23,3,0.247614717673097
iod,Antarctica,23,3,0.277321631776567
npgo,Asia,23,3,0.266673550075612
oni,Europe,24,1,0.320421936776582
nao,Oceania,24,2,0.379443981848433
iod,Africa,24,2,0.258470719822457
npo,Americas,24,2,0.233490776760392
oni,Antarctica,24,3,0.366623151080214
pdo,Asia,24,3,0.350285018185803
oni,Europe,25,1,0.318342114562082
nao,Oceania,25,2,0.244839160052036
oni,Africa,25,3,0.234330038864678
nao,Americas,25,3,0.354088833837984
oni,Antarctica,26,1,cor04
nao,Asia,26,1,0.372002546116022
pdo,Europe,26,1,0.249437697838349
npgo,Oceania,26,1,0.232891857265083
npo,Africa,26,1,0.273429442457286
oni,Americas,26,2,0.388745897733874
pdo,Antarctica,26,2,0.35950456315939
iod,Asia,26,2,0.306552994910272
npgo,Europe,26,2,0.34269105857217
npo,Oceania,26,2,0.282014274715498
nao,Africa,26,3,0.293942505379556
pdo,Americas,26,3,0.312067290581208
iod,Antarctica,26,3,0.277475548478369
npgo,Asia,26,3,0.25806543947694
